dataset,method,true_class,class_size,H_Z_given_Y_class,effective_fragments,occupied_predicted_clusters,dominant_predicted_cluster_share,second_largest_predicted_cluster_share
Leukemia2,PSF-CE,2,20.0,0.1985152433458726,1.2195906179141718,2.0,0.9499999999999998,0.05000000000000001
Leukemia2,RANGE,0,28.0,0.6821125966439078,1.9850748381745724,2.3333333333333335,0.6904761904761906,0.2619047619047619
Leukemia2,RANGE,1,24.0,0.5623351446188083,1.7547653506033232,2.0,0.75,0.25
Leukemia2,RANGE,2,20.0,0.8556886672556695,2.3529942528290935,3.0,0.5,0.45
Leukemia2,YACHT,0,28.0,0.7401326316527331,2.110551360294814,2.3333333333333335,0.6071428571428572,0.3333333333333333
Leukemia2,YACHT,1,24.0,0.5454701208850087,1.7259073825622027,2.0,0.7638888888888888,0.23611111111111113
Leukemia2,YACHT,2,20.0,0.8556886672556695,2.3529942528290935,3.0,0.5,0.45
Mushroom,CEHM,0,4208.0,0.0019595470335384744,1.0019653180734855,1.3333333333333333,0.9997623574144487,0.0002376425855513308
Mushroom,CEHM,1,3916.0,0.6866161923672077,1.986980878037403,2.0,0.5570309839972761,0.4429690160027239
Mushroom,GPEC,0,4208.0,0.3930076618828202,1.5080109940666233,2.0,0.8409378960709759,0.1590621039290241
Mushroom,GPEC,1,3916.0,0.628024830263238,1.8805228647436845,2.0,0.6318522301668369,0.36814776983316305
Mushroom,HBGF,0,4208.0,0.5848506428825361,1.7979130125303773,2.0,0.7147496831432193,0.28525031685678076
Mushroom,HBGF,1,3916.0,0.5670160908833465,1.767278191667361,2.0,0.7307626830098739,0.269237316990126
Mushroom,MCLA,0,4208.0,0.5252005215446606,1.6913303318865627,2.0,0.7804182509505703,0.21958174904942965
Mushroom,MCLA,1,3916.0,0.6142510952248329,1.8529925114973895,2.0,0.6676881171263194,0.33231188287368063
Mushroom,PSF-CE,0,4208.0,0.055268584371478614,1.0569681463913145,2.0,0.9900190114068441,0.009980988593155894
