dataset,method,ACC,NMI,ARI,F1
MSRC-v1,Poly2,0.73650793650793656,0.68644609106792809,0.60339897337547299,0.69321708822733541
MSRC-v1,RANGE,0.70476190476190481,0.62795590364070186,0.53167701998283468,0.69616203211612326
MSRC-v1,YACHT,0.71111111111111114,0.62581303182952341,0.53816692829972224,0.70097826772070448
Movies617,AggregatePower,0.12155591572123174,0.099522278978325815,0.0068232518239418997,0.060020692780420402
Movies617,CA,0.12155591572123174,0.099522278978325815,0.0068232518239418997,0.060020692780420402
Movies617,CEHM,0.074554294975688801,0,0,0.0081625410345133008
Movies617,LinearPair,0.12155591572123174,0.099522278978325815,0.0068232518239418997,0.060048584449178932
Movies617,PSF-CE,0.12209616423554832,0.099907866590445371,0.0068411979433345661,0.061073110498679029
Movies617,Poly2,0.12155591572123174,0.099522278978325815,0.0068232518239418997,0.060020692780420402
Movies617,RANGE,0.20907617504051865,0.18377864656312623,0.057694549499855606,0.20093861195929161
Movies617,YACHT,0.21447866018368447,0.18301645945157183,0.058409796220608635,0.20471008757743017
NGs,AggregatePower,0.20799999999999999,0.019240577854226334,4.7871236158019799e-05,0.082965815675041396
NGs,CA,0.20799999999999999,0.019240577854226334,4.7871236158019799e-05,0.082965815675041396
NGs,CEHM,0.20000000000000004,0,0,0.066666666666666596
