dataset,pool,group,task_family,split,source_id,method,params,status,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,spectral_seconds,objective,rounding_objective,eig_max,eig_min_topc,commutator_ratio,interaction_scale,solver,rounding,sweeps,moves,history_json,rounding_candidates_json,skip_reason
NGs,1,TEXT_MV,,formal,,LinearPair,"{""lambda"": 3.0}",ok,500,5,20,0.206,0.015480269156409545,-3.853876421598665e-06,0.07899528207854344,0.08232059999136254,0.0009751999896252528,,6.670358977200299,2.41122328828112,0.9721949529071552,3.2880448321834277e-16,4.541328398229566,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.853630629096551, ""kmeans_norm"": 5.083192327091073, ""kmeans_raw"": 6.670358977200299}",
NGs,1,TEXT_MV,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,500,5,20,0.206,0.015480269156409545,-3.853876421598665e-06,0.07899528207854344,0.07764400000451133,0.0009126000077230856,,3.1766999649219865,1.0000000000000007,0.40924018840561444,0.001824748659437842,4.567905677293629,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 2.895658574311427, ""kmeans_norm"": 2.591157800904685, ""kmeans_raw"": 3.1766999649219865}",
NGs,1,TEXT_MV,,formal,,Poly2,"{""eta"": 8.0}",ok,500,5,20,0.206,0.015480269156409545,-3.853876421598665e-06,0.07899528207854344,0.08410259999800473,0.0008627999923191965,,5.16351395545267,1.6821892976014574,0.7534493704188614,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 4.597447765564228, ""kmeans_norm"": 4.0223592160651265, ""kmeans_raw"": 5.16351395545267}",
Movies617,2,CONTENT_RELATION_8,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,617,17,20,0.11507293354943274,0.08688249131305115,0.0065506887106408585,0.048724933068664336,0.304861600001459,0.00994080000964459,,6.027328428896371,1.4688324784600237,0.05545564343611604,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.094642411145502, ""kmeans_norm"": 2.868887771195792, ""kmeans_raw"": 6.027328428896371}",
Movies617,2,CONTENT_RELATION_8,,formal,,CA,{},ok,617,17,20,0.11507293354943274,0.08688249131305115,0.0065506887106408585,0.048724933068664336,0.3420490999997128,0.007990999991307035,,6.352367750361527,0.9999999999999969,0.2721078258796076,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.78000233768786, ""kmeans_norm"": 4.142088262363443, ""kmeans_raw"": 6.352367750361527}",
Movies617,2,CONTENT_RELATION_8,,formal,,LinearPair,"{""lambda"": 3.0}",ok,617,17,20,0.11507293354943274,0.08688249131305115,0.0065506887106408585,0.048724933068664336,0.358324899993022,0.009790099997189827,,25.834760540046382,2.858297422123212,0.9999999999999971,1.5375221549582896e-16,3.8350740181037986,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 21.05654533644162, ""kmeans_norm"": 13.239379307046946, ""kmeans_raw"": 25.834760540046382}",
Movies617,2,CONTENT_RELATION_8,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,617,17,20,0.1166936790923825,0.08653145613056905,0.006774248092798288,0.04923689741476417,0.33376680000219494,0.008435600000666454,,10.641423414197192,0.999999999999997,0.4390385493491451,0.0030727354099194543,3.907982601679802,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 8.93715522720512, ""kmeans_norm"": 6.205185592171246, ""kmeans_raw"": 10.641423414197192}",
Movies617,2,CONTENT_RELATION_8,,formal,,Poly2,"{""eta"": 8.0}",ok,617,17,20,0.11507293354943274,0.08688249131305115,0.0065506887106408585,0.048724933068664336,0.3374102999950992,0.008819900001981296,,21.362791380610975,2.2354880863490343,0.8644491771190221,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 18.401188881969464, ""kmeans_norm"": 11.408317528869588, ""kmeans_raw"": 21.362791380610975}",
NGs,2,TEXT_MV,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,500,5,20,0.208,0.019246563491445046,3.690568721115807e-05,0.0829908200904124,0.08358669999870472,0.0006140000041341409,,2.5149800345851445,1.000000000000002,0.1981542279134051,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 2.155468897628245, ""kmeans_norm"": 1.6045812013173972, ""kmeans_raw"": 2.5149800345851445}",
NGs,2,TEXT_MV,,formal,,CA,{},ok,500,5,20,0.208,0.019246563491445046,3.690568721115807e-05,0.0829908200904124,0.08655230001022574,0.0006891000084578991,,2.072951297808684,1.000000000000002,0.25012204633802504,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 1.9281033118561395, ""kmeans_norm"": 1.6691488815410287, ""kmeans_raw"": 2.072951297808684}",
